Математика,01.04.01
Прикладная математика и информатика,01.04.02
Механика и математическое моделирование,01.04.03
Прикладная математика,01.04.04
Математика и компьютерные науки,02.04.01
Фундаментальная информатика и информационные технологии,02.04.02
Математическое обеспечение и администрирование информационных систем,02.04.03
Прикладные математика и физика,03.04.01
Картография и геоинформатика,05.04.03
Информатика и вычислительная техника,09.04.01
Информационные системы и технологии,09.04.02
Прикладная информатика,09.04.03
Программная инженерия,09.04.04
Информационная безопасность,10.04.01
Радиотехника,11.04.01
Инфокоммуникационные технологии и системы связи,11.04.02
Конструирование и технология электронных средств,11.04.03
Электроника и наноэлектроника,11.04.04
Фотоника и оптоинформатика,12.04.03
Электроэнергетика и электротехника,04.13.02
Энергетическое машиностроение,04.13.03
Машиностроение,04.15.01
Технологические машины и оборудование,04.15.02
Прикладная механика,04.15.03
Автоматизация технологических процессов и производств,04.15.04
Конструкторско-технологическое обеспечение машиностроительного производства,04.15.05
Мехатроника и робототехника,04.15.06
Ракетные комплексы и космонавтика,04.24.01
Системы управления движением и навигация,04.24.02
Баллистика и гидроаэродинамика,04.24.03
Авиастроение,04.24.04
Двигатели летательных аппаратов,04.24.05
Кораблестроение океанотехника и системотехника объектов морской инфраструктуры,04.26.02
Управление качеством,04.27.02
Системный анализ и управление,04.27.03
Управление в технических системах,04.27.04
Инноватика,04.27.05
Бизнес-информатика,04.05.38
Интеллектуальные системы в гуманитарной сфере,04.04.45
Математика,01.04.01
Прикладная математика и информатика,01.04.02
Механика и математическое моделирование,01.04.03
Прикладная математика,01.04.04
Математика и компьютерные науки,02.04.01
Фундаментальная информатика и информационные технологии,02.04.02
Математическое обеспечение и администрирование информационных систем,02.04.03
Прикладные математика и физика,03.04.01
Картография и геоинформатика,05.04.03
Информатика и вычислительная техника,09.04.01
Информационные системы и технологии,09.04.02
Прикладная информатика,09.04.03
Программная инженерия,09.04.04
Информационная безопасность,10.04.01
Радиотехника,11.04.01
Инфокоммуникационные технологии и системы связи,11.04.02
Конструирование и технология электронных средств,11.04.03
Электроника и наноэлектроника,11.04.04
Фотоника и оптоинформатика,12.04.03
Электроэнергетика и электротехника,04.13.02
Энергетическое машиностроение,04.13.03
Машиностроение,04.15.01
Технологические машины и оборудование,04.15.02
Прикладная механика,04.15.03
Автоматизация технологических процессов и производств,04.15.04
Конструкторско-технологическое обеспечение машиностроительного производства,04.15.05
Мехатроника и робототехника,04.15.06
Ракетные комплексы и космонавтика,04.24.01
Системы управления движением и навигация,04.24.02
Баллистика и гидроаэродинамика,04.24.03
Авиастроение,04.24.04
Двигатели летательных аппаратов,04.24.05
Кораблестроение океанотехника и системотехника объектов морской инфраструктуры,04.26.02
Управление качеством,04.27.02
Системный анализ и управление,04.27.03
Управление в технических системах,04.27.04
Инноватика,04.27.05
Бизнес-информатика,04.05.38
Интеллектуальные системы в гуманитарной сфере,04.04.45
Математика,01.04.01
Прикладная математика и информатика,01.04.02
Механика и математическое моделирование,01.04.03
Прикладная математика,01.04.04
Математика и компьютерные науки,02.04.01
Фундаментальная информатика и информационные технологии,02.04.02
Математическое обеспечение и администрирование информационных систем,02.04.03
Прикладные математика и физика,03.04.01
Картография и геоинформатика,05.04.03
Информатика и вычислительная техника,09.04.01
Информационные системы и технологии,09.04.02
Прикладная информатика,09.04.03
Программная инженерия,09.04.04
Информационная безопасность,10.04.01
Радиотехника,11.04.01
Инфокоммуникационные технологии и системы связи,11.04.02
Конструирование и технология электронных средств,11.04.03
Электроника и наноэлектроника,11.04.04
Фотоника и оптоинформатика,12.04.03
Электроэнергетика и электротехника,04.13.02
Энергетическое машиностроение,04.13.03
Машиностроение,04.15.01
Технологические машины и оборудование,04.15.02
Прикладная механика,04.15.03
Автоматизация технологических процессов и производств,04.15.04
Конструкторско-технологическое обеспечение машиностроительного производства,04.15.05
Мехатроника и робототехника,04.15.06
Ракетные комплексы и космонавтика,04.24.01
Системы управления движением и навигация,04.24.02
Баллистика и гидроаэродинамика,04.24.03
Авиастроение,04.24.04
Двигатели летательных аппаратов,04.24.05
Кораблестроение океанотехника и системотехника объектов морской инфраструктуры,04.26.02
Управление качеством,04.27.02
Системный анализ и управление,04.27.03
Управление в технических системах,04.27.04
Инноватика,04.27.05
Бизнес-информатика,04.05.38
Интеллектуальные системы в гуманитарной сфере,04.04.45
Математика,01.04.01
Прикладная математика и информатика,01.04.02
Механика и математическое моделирование,01.04.03
Прикладная математика,01.04.04
Математика и компьютерные науки,02.04.01
Фундаментальная информатика и информационные технологии,02.04.02
Математическое обеспечение и администрирование информационных систем,02.04.03
Прикладные математика и физика,03.04.01
Картография и геоинформатика,05.04.03
Информатика и вычислительная техника,09.04.01
Информационные системы и технологии,09.04.02
Прикладная информатика,09.04.03
Программная инженерия,09.04.04
Информационная безопасность,10.04.01
Радиотехника,11.04.01
Инфокоммуникационные технологии и системы связи,11.04.02
Конструирование и технология электронных средств,11.04.03
Электроника и наноэлектроника,11.04.04
Фотоника и оптоинформатика,12.04.03
Электроэнергетика и электротехника,04.13.02
Энергетическое машиностроение,04.13.03
Машиностроение,04.15.01
Технологические машины и оборудование,04.15.02
Прикладная механика,04.15.03
Автоматизация технологических процессов и производств,04.15.04
Конструкторско-технологическое обеспечение машиностроительного производства,04.15.05
Мехатроника и робототехника,04.15.06
Ракетные комплексы и космонавтика,04.24.01
Системы управления движением и навигация,04.24.02
Баллистика и гидроаэродинамика,04.24.03
Авиастроение,04.24.04
Двигатели летательных аппаратов,04.24.05
Математика,01.03.01
Прикладная математика и информатика,01.03.02
Механика и математическое моделирование,01.03.03
Прикладная математика,01.03.04
Фундаментальные математика и механика,01.05.01
Математика и компьютерные науки,02.03.01
