Алтайский государственный аграрный университет,Барнаул
Алтайский государственный гуманитарно-педагогический университет имени В.М. Шукшина,Бийск
Алтайский государственный институт культуры,Барнаул
Алтайский государственный медицинский университет,
Алтайский государственный педагогический университет,Барнаул
Алтайский государственный технический университет им. И.И. Ползунова,Барнаул
Алтайский государственный университет,Барнаул
Алтайский институт труда и права (филиал) Академии труда и социальных отношений,Барнаул
Алтайский институт финансового управления,Барнаул
Алтайский институт экономики - филиал Санкт-Петербургского университета управления и экономики,Барнаул
Алтайский филиал Московского государственного института культуры,Барнаул
Алтайский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Барнаул
Алтайский филиал Российской международной академии туризма,Барнаул
Алтайский экономико-юридический институт,Барнаул
Барнаульский филиал Московской академии предпринимательства при Правительстве Москвы,Барнаул
Барнаульский филиал Современной гуманитарной академии,Барнаул
Барнаульский филиал Финансового университета при Правительстве Российской Федерации,
Барнаульский юридический институт,Барнаул
Бийский филиал Современной гуманитарной академии,Бийск
Бийский филиал Университета Синергия,Бийск
Институт национальной безопасности и управления рисками,Барнаул
Рубцовский индустриальный институт (филиал) Алтайского государственного технического университета им. И.И. Ползунова,Рубцовск
Рубцовский институт (филиал) Алтайского государственного университета,Рубцовск
Рубцовский филиал Университета Российской академии образования,Рубцовск
Филиал Алтайского государственного университета ,Белокуриха
Филиал Алтайского государственного университета ,Бийск
Филиал Алтайского государственного университета ,Славгород
Филиал Московского психолого-социального университета ,Барнаул
Филиал Сибирского государственного университета путей сообщения ,Новоалтайск
Филиал Финансового университета при Правительстве Российской Федерации ,Барнаул
Амурская государственная медицинская академия,Благовещенск
Амурский государственный университет,Благовещенск
Амурский институт железнодорожного транспорта - филиал Дальневосточного государственного университета путей сообщения ,Свободный
Амурский филиал Морского государственного университета имени адмирала Г.И. Невельского,Благовещенск
Байкало-Амурский институт железнодорожного транспорта - филиал Дальневосточного государственного университета путей сообщения ,Тында
Благовещенский государственный педагогический университет,Благовещенск
Благовещенский филиал Московской академии предпринимательства при Правительстве Москвы,Благовещенск
Благовещенский филиал Современной гуманитарной академии,Благовещенск
Дальневосточное высшее военное командное училище (военный институт) имени Маршала Советского Союза К.К. Рокоссовского (филиал) Военного учебно-научного центра Сухопутных войск Общевойсковая академия Вооруженных Сил Российской Федерации,Благовещенск
Дальневосточный государственный аграрный университет,Благовещенск
Открытый Институт Муниципальных Проблем,Благовещенск
Арктический морской институт имени В.И. Воронина - филиал Государственного университета морского и речного флота имени адмирала С.О. Макарова,Архангельск
Архангельский филиал Современной гуманитарной академии,Архангельск
Архангельский филиал Финансового университета при Правительстве Российской Федерации,
Вельский филиал Современной гуманитарной академии,Вельск
Институт управления (г. Архангельск),Архангельск
Котласский филиал Государственного университета морского и речного флота имени адмирала С.О. Макарова,Котлас
Северный (Арктический) федеральный университет имени М.В. Ломоносова,Архангельск
Северный государственный медицинский университет,Архангельск
Северный институт предпринимательства,
Северный филиал Московского гуманитарно-экономического института,Коряжма
Северодвинский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Северодвинск
Северодвинский филиал Современной гуманитарной академии,Северодвинск
Филиал Санкт-Петербургского государственного университета культуры и искусств ,Архангельск
филиал Северного (Арктического) федерального университета имени М.В. Ломоносова ,Коряжма
Филиал Северного (Арктического) федерального университета имени М.В. Ломоносова ,Северодвинск
Астраханская государственная консерватория (академия),Астрахань
Астраханский (г. Астрахань) филиал Международного юридического института,Астрахань
Астраханский государственный архитектурно-строительный университет,
Астраханский государственный медицинский университет,Астрахань
Астраханский государственный технический университет,Астрахань
Астраханский государственный университет,Астрахань
Астраханский филиал Волжского государственного университета водного транспорта,Астрахань
Астраханский филиал Московского финансово-промышленного университета СИНЕРГИЯ,
Астраханский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Астрахань
Астраханский филиал Саратовского государственного аграрного университета имени Н.И. Вавилова,Астрахань
Астраханский филиал Современной гуманитарной академии,Астрахань
Астраханский филиал Университета Российской академии образования,Астрахань
Астраханский филиал Южно-Российского гуманитарного института,Астрахань
Институт мировой экономики и финансов,Астрахань
Каспийский институт морского и речного транспорта - филиал Волжского государственного университета водного транспорта,Астрахань
Филиал Астраханского государственного университета ,Знаменск
Филиал Взлет Московского авиационного института (национального исследовательского университета) ,Ахтубинск
Филиал Международного института экономики и права в городе Астрахани,
Филиал Саратовской государственной академии права ,Астрахань
Белгородский государственный аграрный университет имени В. Я. Горина,
Белгородский государственный институт искусств и культуры,Белгород
Белгородский государственный национальный исследовательский университет,Белгород
Белгородский государственный технологический университет им. В.Г. Шухова,Белгород
Белгородский инженерно-экономический институт,Белгород
Белгородский институт экономики и права,Белгород
Белгородский университет кооперации экономики и права,Белгород
Белгородский филиал Московского государственного университета путей сообщения,Белгород
Белгородский филиал Московского государственного университета экономики статистики и информатики (МЭСИ),Белгород
Белгородский филиал Современной гуманитарной академии,Белгород
Белгородский юридический институт Министерства внутренних дел Российской Федерации,Белгород
Губкинский филиал Белгородского государственного технологического университета им. В.Г. Шухова,Губкин
Губкинский филиал Современной гуманитарной академии,Губкин
Старооскольский технологический институт им. А.А. Угарова (филиал) Национального исследовательского технологического университета «МИСиС»,Старый Оскол
Старооскольский филиал Белгородского государственного университета,Старый Оскол
Старооскольский филиал Современной гуманитарной академии,Старый Оскол
Филиал Воронежской государственной академии искусств в городе Белгороде,Белгород
Брянский государственный аграрный университет,
Брянский государственный инженерно-технологический университет,Брянск
Брянский государственный технический университет,Брянск
Брянский государственный университет имени академика И.Г. Петровского,Брянск
Брянский институт управления и бизнеса,Брянск
Брянский филиал Академии права и управления (института),Брянск
Брянский филиал Московского государственного университета путей сообщения,Брянск
Брянский филиал Московского государственного университета экономики статистики и информатики (МЭСИ),Брянск
Брянский филиал Национального государственного Университета физической культуры спорта и здоровья имени П.Ф. Лесгафта Санкт-Петербург,Брянск
Брянский филиал Российского государственного торгово-экономического университета,Брянск
Брянский филиал Российского университета кооперации,Брянск
Брянский филиал Российского экономического университета имени Г.В. Плеханова,Брянск
